nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
LUIZ CARLOS MOTTA,M,84 dias,8 dias,0 dias,25 reuniões,25 reuniões,0 reuniões,24/04/1959,"205.688,55","14.042,14","18.661,32","27.321,30","27.399,17","56.728,50","17.013,50","17.082,53","5.413,05","9.042,24","12.724,51",não contabilizados,não contabilizados,33763.0,"205.688,55","111.398,85","111.398,85","111.398,85","111.398,85","111.398,85","111.354,57","110.070,44","110.070,44","110.070,44","106.977,65",não contabilizados,não contabilizados,33763.0,
LUIZ PHILIPPE DE ORLEANS BRAGANÇA,M,83 dias,9 dias,0 dias,26 reuniões,7 reuniões,0 reuniões,03/04/1969,"237.438,20","19.234,16","41.336,91","21.511,75","44.161,20","47.173,05","7.449,77","24.167,48","10.538,27","769,81","21.095,80",não contabilizados,não contabilizados,33763.0,"237.438,20","80.014,24","80.014,24","78.351,82","77.614,00","88.736,90","88.736,90","87.317,09","86.046,97","84.982,14","84.982,14",não contabilizados,não contabilizados,33763.0,
LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,M,92 dias,0 dias,0 dias,58 reuniões,1 reuniões,0 reuniões,10/12/1977,"270.984,21","31.403,73","29.475,83","44.044,70","36.275,81","37.791,57","25.474,97","22.228,02","13.587,63","12.264,36","18.437,59",não contabilizados,não contabilizados,33763.0,"270.984,21","111.586,85","109.394,70","110.910,09","111.665,82","111.665,82","111.665,82","111.338,69","111.132,04","111.132,04","104.252,59",não contabilizados,não contabilizados,33763.0,
LUIZ GOULARTE ALVES,M,83 dias,3 dias,6 dias,79 reuniões,4 reuniões,3 reuniões,06/06/1962,"288.427,80","17.529,81","25.209,26","29.794,99","33.767,73","60.114,45","51.834,55","20.110,94","22.280,94","15.181,93","11.105,50",não contabilizados,não contabilizados,33763.0,"288.427,80","108.232,40","109.781,35","109.900,50","109.900,50","109.900,50","109.900,50","108.325,93","109.537,14","109.900,50","109.900,50",não contabilizados,não contabilizados,33763.0,
LUIZ HILOSHI NISHIMORI,M,70 dias,3 dias,19 dias,19 reuniões,7 reuniões,6 reuniões,09/04/1949,"330.074,38","26.662,66","40.716,70","40.962,20","48.292,97","35.368,39","19.045,34","23.509,88","23.445,46","13.016,89","59.053,89",não contabilizados,não contabilizados,33763.0,"330.074,38","110.729,39","107.428,89","110.412,97","111.629,27","111.629,27","111.629,27","111.629,27","111.586,42","111.629,27","111.629,27",não contabilizados,não contabilizados,33763.0,1
VITOR HUGO DE ARAUJO ALMEIDA,M,87 dias,0 dias,5 dias,3 reuniões,0 reuniões,0 reuniões,31/05/1977,"248.371,66","16.432,60","26.263,43","32.192,06","24.370,73","53.974,90","20.455,63","20.521,90","18.883,41","19.878,69","14.201,72",não contabilizados,não contabilizados,33763.0,"248.371,66","107.407,57","103.693,97","109.197,36","107.703,17","109.899,43","101.572,63","102.809,45","106.773,19","109.126,21","111.653,64",não contabilizados,não contabilizados,33763.0,
MARCEL VAN HATTEM,M,92 dias,0 dias,0 dias,73 reuniões,4 reuniões,13 reuniões,08/11/1985,"99.403,16","8.123,69","12.211,18","14.110,85","12.804,33","14.137,18","10.989,52","6.481,38","8.305,85","1.594,95","9.969,54",não contabilizados,não contabilizados,33763.0,"99.403,16","59.210,65","74.561,08","77.565,06","86.027,94","88.136,42","88.475,30","88.365,70","66.535,02","50.212,88","50.212,88",não contabilizados,não contabilizados,33763.0,1
MARCELO HENRIQUE TEIXEIRA DIAS,M,82 dias,10 dias,0 dias,12 reuniões,5 reuniões,0 reuniões,16/02/1974,"302.309,79","30.085,79","36.472,63","48.468,84","34.529,84","42.150,69","25.388,43","21.373,22","20.519,82","20.596,13","22.114,84",não contabilizados,não contabilizados,33763.0,"302.309,79","110.549,48","110.549,48","110.549,48","110.549,48","110.453,99","109.913,41","111.574,63","110.366,56","109.791,29","109.791,29",não contabilizados,não contabilizados,33763.0,
MARCELO GUILHERME DE ARO FERREIRA,M,84 dias,5 dias,3 dias,10 reuniões,47 reuniões,2 reuniões,12/06/1987,"331.256,69","26.986,31","36.645,34","47.099,34","36.707,50","41.663,07","44.619,68","30.286,71","26.697,75","23.922,88","14.890,89",não contabilizados,não contabilizados,33763.0,"331.256,69","106.502,04","111.068,56","111.653,48","104.573,06","103.998,48","103.998,48","108.171,78","109.020,22","111.580,78","110.200,13",não contabilizados,não contabilizados,33763.0,
MARCELO RIBEIRO FREIXO,M,87 dias,5 dias,0 dias,4 reuniões,14 reuniões,0 reuniões,12/04/1967,"229.992,13","25.371,50","37.740,75","19.009,57","39.407,40","37.663,26","20.187,89","24.073,45","6.438,59","3.826,90","16.272,82",não contabilizados,não contabilizados,33763.0,"229.992,13","109.763,04","108.881,53","107.855,63","110.816,54","106.834,03","107.170,93","111.113,71","105.198,94","100.500,32","100.512,40",não contabilizados,não contabilizados,33763.0,
MARCELO PIRES MORAES,M,87 dias,2 dias,3 dias,16 reuniões,16 reuniões,3 reuniões,07/08/1979,"221.446,17","15.903,33","44.958,34","24.488,41","24.420,07","33.677,36","32.417,15","26.539,86","4.190,21","4.950,67","9.900,77",não contabilizados,não contabilizados,33763.0,"221.446,17","108.976,88","107.192,46","110.469,44","111.026,25","109.177,45","111.653,48","111.653,48","111.653,48","105.897,43","103.044,72",não contabilizados,não contabilizados,33763.0,
MARCELO CALERO FARIA GARCIA,M,65 dias,0 dias,5 dias,52 reuniões,23 reuniões,7 reuniões,07/07/1982,"194.810,31","1,10","0,00","29.402,30","28.404,63","33.524,41","20.206,58","29.621,93","26.800,12","25.672,41","1.176,83",não contabilizados,não contabilizados,33763.0,"194.810,31","0,00","23.880,29","3.594,88","49.213,63","59.918,95","67.197,14","73.698,14","80.943,09","86.692,72","89.528,34",não contabilizados,não contabilizados,33763.0,
JOSÉ MARCELO DO NASCIMENTO NILO,M,80 dias,6 dias,6 dias,13 reuniões,0 reuniões,2 reuniões,26/04/1955,"368.635,59","61.106,10","34.937,85","36.268,18","40.958,43","35.389,33","43.742,38","26.510,69","33.743,64","26.004,96","25.512,62",não contabilizados,não contabilizados,33763.0,"368.635,59","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25","111.617,25",não contabilizados,não contabilizados,33763.0,
MARCELO RAMOS RODRIGUES,M,82 dias,2 dias,8 dias,2 reuniões,7 reuniões,0 reuniões,29/08/1973,"423.392,28","20.242,76","39.354,81","57.067,23","41.462,69","41.579,55","62.349,92","61.760,73","26.114,33","23.392,50","49.853,80",não contabilizados,não contabilizados,33763.0,"423.392,28","111.617,27","110.137,00","111.465,63","108.808,39","109.386,03","111.155,67","111.295,59","109.732,76","110.023,99","111.617,28",não contabilizados,não contabilizados,33763.0,
MÁRCIO DA SILVEIRA LABRE,M,88 dias,2 dias,2 dias,40 reuniões,15 reuniões,0 reuniões,27/02/1974,"259.184,89","31.765,87","30.612,66","44.672,56","38.731,34","39.322,53","28.005,00","17.658,24","14.921,61","10.479,54","2.959,53",não contabilizados,não contabilizados,33763.0,"259.184,89","110.430,70","111.602,13","111.624,11","110.842,85","111.612,93","111.659,50","111.035,13","111.271,52","111.646,42","111.429,65",não contabilizados,não contabilizados,33763.0,
MARCIO LUIZ ALVINO DE SOUZA,M,92 dias,0 dias,0 dias,3 reuniões,2 reuniões,0 reuniões,14/06/1969,"134,51","0,65","10,41","24,07","12,54","20,48","24,95","21,49","16,96","2,96","0,00",não contabilizados,não contabilizados,33763.0,"134,51","111.659,72","109.690,06","111.659,72","110.429,57","111.392,82","109.744,53","99.030,68","98.700,75","100.771,53","101.884,90",não contabilizados,não contabilizados,33763.0,
MARCIO DELLA VALLE BIOLCHI,M,82 dias,2 dias,8 dias,1 reuniões,7 reuniões,0 reuniões,23/05/1979,"328.745,98","29.839,52","27.502,09","37.568,05","60.835,16","62.647,47","28.392,17","39.477,13","22.006,65","9.774,70","9.645,25",não contabilizados,não contabilizados,33763.0,"328.745,98","111.398,83","111.398,83","111.313,13","110.867,47","111.082,43","107.055,29","104.805,27","104.805,27","104.805,27","104.805,27",não contabilizados,não contabilizados,33763.0,
PEDRO AUGUSTO PALARETI,M,58 dias,4 dias,30 dias,0 reuniões,0 reuniões,0 reuniões,08/05/1963,"367.916,48","45.002,25","41.793,92","40.476,10","35.738,01","40.011,13","27.595,55","37.061,80","25.670,21","26.876,43","47.691,08",não contabilizados,não contabilizados,33763.0,"367.916,48","111.303,15","110.591,43","108.880,91","110.241,85","108.844,10","110.633,34","111.623,25","108.056,54","110.241,43","109.098,65",não contabilizados,não contabilizados,33763.0,
PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,M,81 dias,1 dias,10 dias,45 reuniões,12 reuniões,8 reuniões,01/11/1979,"382.136,72","35.356,92","46.331,54","47.765,23","40.146,04","35.975,34","30.438,93","45.067,84","23.587,48","20.171,86","43.119,46",não contabilizados,não contabilizados,33763.0,"382.136,72","111.508,09","111.508,09","111.508,09","111.508,09","109.984,78","111.508,09","111.508,09","111.508,09","111.508,09","111.508,09",não contabilizados,não contabilizados,33763.0,
PEDRO DEBONI LUPION MELLO,M,80 dias,3 dias,9 dias,62 reuniões,6 reuniões,1 reuniões,04/06/1983,"310.649,76","6.990,56","44.793,64","46.634,00","51.461,51","41.298,48","35.147,53","27.135,20","18.926,03","17.431,98","20.830,83",não contabilizados,não contabilizados,33763.0,"310.649,76","111.605,04","111.605,04","111.605,04","111.605,04","105.063,35","111.605,04","111.605,04","111.605,04","111.605,04","111.605,04",não contabilizados,não contabilizados,33763.0,2
PEDRO TORRES BRANDÃO VILELA,M,85 dias,2 dias,5 dias,43 reuniões,21 reuniões,5 reuniões,01/05/1985,"403.054,99","31.328,35","40.549,36","55.871,88","58.384,84","42.801,44","30.516,96","34.120,10","39.606,51","35.100,26","33.402,57",não contabilizados,não contabilizados,33763.0,"403.054,99","111.574,73","111.574,73","111.574,73","111.157,40","111.574,72","111.423,47","110.673,83","110.454,25","111.568,59","111.433,97",não contabilizados,não contabilizados,33763.0,
DARCI POMPEO DE MATTOS,M,89 dias,1 dias,2 dias,65 reuniões,43 reuniões,11 reuniões,12/07/1958,"358.380,95","41.231,74","59.462,92","49.369,15","33.109,82","73.003,33","28.978,11","25.956,45","17.821,83","16.082,73","12.802,87",não contabilizados,não contabilizados,33763.0,"358.380,95","111.204,69","111.204,69","110.681,07","110.983,29","111.198,62","111.016,67","111.016,67","111.100,61","111.392,73","111.412,10",não contabilizados,não contabilizados,33763.0,
ANTÔNIO PINHEIRO NETO,M,91 dias,0 dias,1 dias,20 reuniões,1 reuniões,4 reuniões,30/05/1991,"295.320,63","34.997,43","48.213,22","38.778,05","35.564,82","34.383,72","26.281,37","23.988,24","21.895,37","8.254,43","22.120,56",não contabilizados,não contabilizados,33763.0,"295.320,63","111.556,62","111.556,62","111.556,62","107.672,88","108.716,69","110.221,78","111.520,27","111.520,27","111.520,27","111.520,27",não contabilizados,não contabilizados,33763.0,
PEDRO FRANCISCO UCZAI,M,82 dias,1 dias,9 dias,48 reuniões,31 reuniões,12 reuniões,10/03/1963,"311.583,40","32.367,32","27.996,85","29.187,49","18.046,24","52.327,88","47.932,03","39.574,89","34.048,81","9.759,62","19.368,58",não contabilizados,não contabilizados,33763.0,"311.583,40","111.168,36","111.574,57","111.623,31","111.623,31","111.395,97","110.426,54","111.623,30","111.623,30","111.623,30","111.623,30",não contabilizados,não contabilizados,33763.0,
PEDRO BANDARRA WESTPHALEN,M,91 dias,1 dias,0 dias,75 reuniões,1 reuniões,2 reuniões,19/12/1950,"381.668,47","36.518,28","54.324,72","62.114,31","50.504,82","44.251,67","34.167,19","35.224,30","25.574,63","8.729,07","24.373,16",não contabilizados,não contabilizados,33763.0,"381.668,47","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25",não contabilizados,não contabilizados,33763.0,
ALCIDES RIBEIRO FILHO,M,85 dias,7 dias,0 dias,37 reuniões,24 reuniões,0 reuniões,25/10/1953,"341.806,61","33.108,61","33.113,89","48.105,19","48.107,00","48.112,75","33.107,36","36.344,43","15.569,34","12.097,38","31.074,94",não contabilizados,não contabilizados,33763.0,"341.806,61","111.586,87","111.586,87","110.799,10","108.381,81","111.671,93","110.344,32","111.671,93","111.029,15","110.343,52","110.343,52",não contabilizados,não contabilizados,33763.0,
JOZIEL FERREIRA CARLOS,M,88 dias,4 dias,0 dias,35 reuniões,42 reuniões,0 reuniões,22/04/1966,"337.587,74","26.284,98","21.925,42","46.651,94","55.224,11","45.817,36","25.815,11","24.873,87","32.404,12","21.329,86","35.691,44",não contabilizados,não contabilizados,33763.0,"337.587,74","110.786,15","110.786,15","110.786,15","110.786,15","111.298,81","110.023,45","111.617,14","111.033,65","111.084,56","95.020,46",não contabilizados,não contabilizados,33763.0,
RAFAEL HUETE DA MOTTA,M,80 dias,7 dias,5 dias,27 reuniões,21 reuniões,4 reuniões,15/08/1986,"258.446,05","22.061,25","20.987,07","32.044,73","47.323,12","38.481,01","19.788,15","28.425,17","12.569,51","12.955,13","20.480,35",não contabilizados,não contabilizados,33763.0,"258.446,05","111.611,09","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06",não contabilizados,não contabilizados,33763.0,
ISRAEL MATOS BATISTA,M,89 dias,0 dias,3 dias,55 reuniões,14 reuniões,0 reuniões,02/05/1982,"268.808,04","24.294,73","25.264,69","33.230,03","31.069,74","44.260,36","16.543,25","15.516,55","11.331,89","12.985,33","54.311,47",não contabilizados,não contabilizados,33763.0,"268.808,04","108.657,06","109.957,54","111.581,39","106.242,06","110.968,15","108.128,74","109.508,43","111.653,58","108.724,61","111.653,60",não contabilizados,não contabilizados,33763.0,
RAIMUNDO MAGALHÃES COSTA,M,77 dias,5 dias,10 dias,25 reuniões,13 reuniões,8 reuniões,09/03/1961,"385.733,94","31.247,01","33.852,56","35.730,14","54.251,36","59.847,83","39.948,97","38.881,38","37.224,96","30.425,51","23.741,54",não contabilizados,não contabilizados,33763.0,"385.733,94","109.381,85","111.443,89","110.344,94","107.265,94","110.092,70","110.034,01","111.291,20","110.355,30","111.665,71","111.572,77",não contabilizados,não contabilizados,33763.0,
RENILDO VASCONCELOS CALHEIROS,M,74 dias,0 dias,18 dias,5 reuniões,50 reuniões,14 reuniões,20/04/1959,"283.393,10","25.389,44","33.981,63","32.409,64","32.538,33","33.726,63","37.650,53","30.620,56","25.957,77","19.988,78","9.601,72",não contabilizados,não contabilizados,33763.0,"283.393,10","110.852,80","110.852,80","109.867,21","107.453,52","108.361,91","110.816,41","110.388,48","110.325,08","110.325,08","110.325,08",não contabilizados,não contabilizados,33763.0,
RAUL JEAN LOUIS HENRY JÚNIOR,M,86 dias,0 dias,6 dias,36 reuniões,21 reuniões,6 reuniões,06/06/1964,"294.011,61","38.165,25","29.302,36","32.016,22","39.228,39","44.657,47","34.719,45","33.058,24","17.205,35","5.575,16","15.158,34",não contabilizados,não contabilizados,33763.0,"294.011,61","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04",não contabilizados,não contabilizados,33763.0,
REGINALDO LÁZARO DE OLIVEIRA LOPES,M,77 dias,0 dias,15 dias,4 reuniões,55 reuniões,5 reuniões,02/04/1973,"284.845,43","22.866,69","27.219,10","59.587,46","50.048,57","49.989,97","35.479,55","19.697,60","15.557,40","2.969,06","1.377,71",não contabilizados,não contabilizados,33763.0,"284.845,43","108.026,25","109.022,78","111.193,01","111.289,68","111.289,68","111.083,64","105.108,61","107.364,31","111.138,02","109.639,57",não contabilizados,não contabilizados,33763.0,
RICARDO JOSÉ MAGALHÃES BARROS,M,85 dias,0 dias,7 dias,27 reuniões,12 reuniões,4 reuniões,15/11/1959,"289.209,52","31.383,94","29.984,02","33.975,37","38.325,55","31.338,43","31.141,41","40.542,02","28.929,56","8.765,20","14.824,02",não contabilizados,não contabilizados,33763.0,"289.209,52","110.792,29","109.833,02","109.637,04","109.134,10","106.128,07","104.534,79","103.324,87","103.658,88","103.658,88","105.536,16",não contabilizados,não contabilizados,33763.0,1
RICARDO CORREA DE BARROS,M,82 dias,2 dias,8 dias,16 reuniões,8 reuniões,3 reuniões,27/10/1959,"248.605,56","34.114,07","35.083,65","35.897,10","47.538,24","47.361,51","22.483,72","14.839,35","3.821,91","2.615,91","4.320,06",não contabilizados,não contabilizados,33763.0,"248.605,56","111.449,81","111.363,00","111.585,60","110.962,81","111.421,42","111.065,11","110.412,97","111.435,17","110.878,73","111.477,81",não contabilizados,não contabilizados,33763.0,
RICARDO IZAR JUNIOR,M,82 dias,8 dias,2 dias,10 reuniões,9 reuniões,1 reuniões,01/08/1968,"318.098,30","21.993,12","26.040,58","36.284,07","34.496,42","82.039,32","25.193,31","14.757,52","10.691,35","11.857,99","54.744,62",não contabilizados,não contabilizados,33763.0,"318.098,30","111.574,72","111.565,62","111.631,28","111.653,59","111.355,92","111.556,47","111.563,15","111.599,55","111.580,77","111.624,79",não contabilizados,não contabilizados,33763.0,
RICARDO ZANATTA GUIDI,M,92 dias,0 dias,0 dias,27 reuniões,11 reuniões,2 reuniões,28/09/1977,"212.087,75","20.891,82","27.553,59","25.787,02","36.603,04","34.612,26","34.669,08","20.256,07","1.117,85","489,75","9.491,30",não contabilizados,não contabilizados,33763.0,"212.087,75","111.665,83","111.665,83","111.665,83","110.702,58","111.665,83","111.665,83","111.665,83","111.665,83","111.665,83","111.665,83",não contabilizados,não contabilizados,33763.0,
JOÃO CARLOS SIQUEIRA,M,89 dias,3 dias,0 dias,104 reuniões,16 reuniões,0 reuniões,28/02/1967,"339.556,48","18.732,03","37.477,94","36.322,55","44.831,86","54.192,78","54.866,82","25.266,73","20.811,94","30.550,84","16.502,99",não contabilizados,não contabilizados,33763.0,"339.556,48","111.635,71","111.635,71","111.635,71","111.621,16","111.599,34","111.599,34","111.599,34","110.786,91","111.599,34","111.650,98",não contabilizados,não contabilizados,33763.0,
FRANCISCO EURICO DA SILVA,M,86 dias,3 dias,3 dias,36 reuniões,2 reuniões,2 reuniões,12/09/1962,"344.292,98","14.408,85","34.580,27","34.975,76","61.812,66","34.367,09","44.384,17","39.009,40","33.133,99","26.233,24","21.210,64",não contabilizados,não contabilizados,33763.0,"344.292,98","111.617,15","111.617,14","111.617,12","111.617,12","111.617,12","111.160,97","110.300,06","109.687,41","110.073,19","110.009,89",não contabilizados,não contabilizados,33763.0,
GILDENEMIR DE LIMA SOUSA,M,74 dias,14 dias,4 dias,12 reuniões,18 reuniões,3 reuniões,08/11/1971,"316.273,65","21.687,15","23.939,17","27.502,58","30.200,89","41.443,63","96.284,55","18.286,41","23.625,66","20.193,95","13.109,66",não contabilizados,não contabilizados,33763.0,"316.273,65","111.416,98","111.416,98","111.416,98","111.416,98","111.211,51","111.113,67","111.113,67","109.524,41","111.604,98","111.604,98",não contabilizados,não contabilizados,33763.0,
MANOEL ISIDORIO DE SANTANA JUNIOR,M,89 dias,0 dias,3 dias,28 reuniões,21 reuniões,4 reuniões,28/07/1962,"122.162,55","18.985,98","7.305,20","24.819,70","17.539,09","17.263,62","14.958,11","9.351,19","6.767,24","5.107,26","0,00",não contabilizados,não contabilizados,33763.0,"122.162,55","107.571,53","110.759,99","109.535,10","109.059,48","111.629,57","111.629,57","110.968,20","109.579,33","109.579,33","109.579,33",não contabilizados,não contabilizados,33763.0,
MARCO ANTÔNIO FELICIANO,M,85 dias,0 dias,7 dias,38 reuniões,6 reuniões,6 reuniões,12/10/1972,"250.282,69","16.409,30","15.313,17","26.204,50","22.449,14","40.447,31","43.250,46","33.839,75","21.664,84","14.490,61","16.213,61",não contabilizados,não contabilizados,33763.0,"250.282,69","111.368,34","104.360,16","111.368,34","110.321,79","111.368,34","109.798,51","107.823,56","111.368,34","111.368,34","111.368,34",não contabilizados,não contabilizados,33763.0,1
PATRUS ANANIAS DE SOUZA,M,78 dias,9 dias,5 dias,42 reuniões,5 reuniões,5 reuniões,26/01/1952,"333.980,39","24.018,54","39.827,35","54.717,60","54.875,05","42.393,82","34.520,85","28.314,93","23.534,46","12.411,86","17.816,65",não contabilizados,não contabilizados,33763.0,"333.980,39","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79",não contabilizados,não contabilizados,33763.0,
PAULO FERNANDO DOS SANTOS,M,73 dias,0 dias,19 dias,6 reuniões,5 reuniões,8 reuniões,15/09/1957,"222.771,27","17.870,27","16.725,90","32.875,97","39.024,79","33.319,95","22.766,87","23.531,76","13.785,48","14.270,34","8.103,75",não contabilizados,não contabilizados,33763.0,"222.771,27","111.659,67","111.659,67","111.659,67","111.659,67","111.659,67","110.842,80","111.182,23","111.659,67","111.659,67","111.659,67",não contabilizados,não contabilizados,33763.0,
PAULO PEREIRA DA SILVA,M,46 dias,0 dias,46 dias,2 reuniões,11 reuniões,13 reuniões,24/02/1956,"308.553,28","29.383,01","37.602,30","44.450,75","46.446,53","47.674,81","19.088,84","19.977,90","19.527,49","16.302,91","27.225,40",não contabilizados,não contabilizados,33763.0,"308.553,28","111.343,49","107.820,90","105.264,15","110.968,98","111.659,67","110.813,89","110.674,85","111.659,67","111.659,67","104.410,83",não contabilizados,não contabilizados,33763.0,
PAULO ABI-ACKEL,M,77 dias,15 dias,0 dias,5 reuniões,52 reuniões,0 reuniões,21/06/1963,"264.502,84","50.879,76","37.955,13","38.334,70","37.784,96","34.690,33","17.048,14","19.193,24","11.703,00","7.031,98","9.800,90",não contabilizados,não contabilizados,33763.0,"264.502,84","111.538,31","110.817,73","111.004,47","111.583,13","111.604,58","111.647,43","111.647,43","110.107,30","108.838,96","108.984,93",não contabilizados,não contabilizados,33763.0,
PAULO VELLOSO DANTAS AZI,M,84 dias,4 dias,4 dias,40 reuniões,22 reuniões,3 reuniões,14/01/1963,"303.819,28","26.573,17","22.575,78","39.470,93","54.315,35","45.960,76","40.677,23","23.921,98","20.173,45","14.938,36","15.158,92",não contabilizados,não contabilizados,33763.0,"303.819,28","111.653,56","111.653,56","111.653,56","111.653,56","111.653,56","105.448,85","111.501,94","84.752,91","94.178,04","94.178,04",não contabilizados,não contabilizados,33763.0,
PAULO EDUARDO MAESTRI BENGTSON,M,74 dias,0 dias,18 dias,36 reuniões,32 reuniões,13 reuniões,06/01/1974,"368.252,83","24.899,76","55.324,78","58.443,02","35.093,13","30.445,65","25.398,99","50.948,77","12.321,28","10.877,93","39.272,42",não contabilizados,não contabilizados,33763.0,"368.252,83","111.659,64","111.659,64","111.225,25","111.659,64","111.659,64","109.864,15","111.659,64","111.659,64","111.659,64","111.659,64",não contabilizados,não contabilizados,33763.0,
PAULO EDUARDO LIMA MARTINS,M,91 dias,1 dias,0 dias,25 reuniões,0 reuniões,0 reuniões,20/04/1981,"92.268,14","3.945,73","11.259,49","15.992,60","19.018,57","2.707,30","8.218,59","11.131,25","16.570,06","22,25","3.129,33",não contabilizados,não contabilizados,33763.0,"92.268,14","102.152,26","98.860,68","99.214,26","106.521,83","98.007,37","89.495,08","89.495,08","93.465,44","98.709,04","101.241,43",não contabilizados,não contabilizados,33763.0,
PAULO ROBERTO FREIRE DA COSTA,M,74 dias,10 dias,8 dias,21 reuniões,9 reuniões,2 reuniões,14/02/1955,"202.039,52","28.123,72","40.814,59","36.407,71","19.783,12","41.182,90","7.628,08","363,70","7.406,48","4.265,11","16.064,11",não contabilizados,não contabilizados,33763.0,"202.039,52","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06",não contabilizados,não contabilizados,33763.0,
PAULO ROBERTO SEVERO PIMENTA,M,84 dias,0 dias,8 dias,2 reuniões,18 reuniões,3 reuniões,19/03/1965,"313.815,81","41.686,99","42.323,66","49.222,99","42.354,53","32.901,03","24.113,63","31.686,30","12.308,50","7.348,04","29.691,83",não contabilizados,não contabilizados,33763.0,"313.815,81","111.354,73","111.252,94","111.313,04","111.544,32","111.544,32","111.544,32","111.544,32","111.501,47","111.544,32","111.544,32",não contabilizados,não contabilizados,33763.0,
PAULO JOSE CARLOS GUEDES,M,79 dias,6 dias,7 dias,46 reuniões,23 reuniões,7 reuniões,01/10/1970,"325.450,77","50.413,88","36.385,16","43.402,14","47.827,78","41.593,85","21.450,49","21.887,90","27.132,68","21.181,05","14.036,67",não contabilizados,não contabilizados,33763.0,"325.450,77","111.544,43","111.544,43","111.501,58","111.257,51","110.565,25","110.600,74","111.071,26","110.674,48","111.285,05","111.442,34",não contabilizados,não contabilizados,33763.0,
PAULO GUSTAVO GANIME ALVES TEIXEIRA,M,91 dias,0 dias,1 dias,42 reuniões,18 reuniões,1 reuniões,19/04/1983,"47.205,35","5.824,49","6.334,72","7.106,41","11.947,54","5.938,04","1.814,90","903,97","4,58","3,16","7.327,54",não contabilizados,não contabilizados,33763.0,"47.205,35","73.760,41","73.760,41","63.558,10","63.218,02","63.218,02","62.690,90","48.131,14","59.845,03","50.259,82","53.153,86",não contabilizados,não contabilizados,33763.0,
LUIZ PAULO TEIXEIRA FERREIRA,M,84 dias,8 dias,0 dias,73 reuniões,37 reuniões,0 reuniões,09/05/1961,"321.190,07","40.466,04","38.234,76","37.583,20","39.346,86","42.509,71","25.284,11","20.834,46","19.352,10","7.832,41","48.080,49",não contabilizados,não contabilizados,33763.0,"321.190,07","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.635,16",não contabilizados,não contabilizados,33763.0,1
Paulo Sérgio Ramos Barboza,M,75 dias,4 dias,13 dias,51 reuniões,17 reuniões,23 reuniões,18/10/1944,"308.359,53","31.306,73","33.083,48","45.488,92","41.894,52","40.776,21","31.441,15","25.189,78","21.649,26","20.853,85","14.891,88",não contabilizados,não contabilizados,33763.0,"308.359,53","111.560,91","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33",não contabilizados,não contabilizados,33763.0,
PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,M,69 dias,1 dias,22 dias,9 reuniões,10 reuniões,8 reuniões,11/10/1980,"328.763,67","19.734,06","28.439,45","40.556,30","67.828,90","47.398,69","35.714,39","30.671,96","28.461,24","16.759,00","10.109,67",não contabilizados,não contabilizados,33763.0,"328.763,67","94.142,10","93.371,15","93.371,15","93.371,15","92.962,20","102.548,76","89.862,58","88.681,70","91.617,35","99.421,93",não contabilizados,não contabilizados,33763.0,
RICARDO AUGUSTO MACHADO DA SILVA,M,89 dias,3 dias,0 dias,51 reuniões,14 reuniões,0 reuniões,01/09/1985,"309.195,05","46.869,46","45.084,75","39.767,27","27.339,96","44.758,85","31.421,18","25.575,18","20.837,80","14.187,11","11.911,55",não contabilizados,não contabilizados,33763.0,"309.195,05","110.579,85","110.579,85","111.362,96","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97",não contabilizados,não contabilizados,33763.0,
